"","VARIETY","FEMALE","MALE","T_SPACRE","TRS_TON","TCA","FIBER","MSTWT","POPN","SAPCT","STPCT","TAPCT","SWPCT","POPPCT"
"1",1965357,"CP52-068","CP53-017",6860.79053378682,252.783246287762,27.1001618039856,105.834131087623,2.26909256791389,23923.7218092887,73.2736847330899,95.449710175461,76.0227461043055,119.145671039999,62.7405109934073
"2",1970321,"CP61-039","CP57-614",7809.70659275949,254.273200665908,30.7179036808585,96.1575109326173,2.29673735857213,26686.5826492335,83.4081693527438,96.0123096184902,86.1714188010115,120.597245638723,69.9861771269481
"3",1972370,"CP61-037","CP52-068",8180.24037751809,257.55454676259,32.0462947985383,99.3670185481023,2.28671395683453,27862.0961527352,87.3654940361975,97.2513297612933,89.8978888271697,120.070936160204,73.0689883415774
"4",1974383,"CP65-357","L65-069",7144.33458411507,237.554794520548,30.0996873045654,96.6808795170004,2.13916302311056,28427.8384470883,76.3019534507224,89.6995217078798,84.4371669189601,112.323321426582,74.5526605277552
"5",1977042,"CP71-321","US72-019",8511.24387341509,234.412621016038,37.1049730471698,106.559550938156,2.38910377358491,31360.834915283,90.9006326888742,88.5130524511907,104.088749195484,125.447227809514,82.2445112616552
"6",1979318,"CP65-357","L65-069",7693.77649555914,259.629032258065,29.7065138623656,NA,2.41677096774194,24985.1267949462,82.1700284487908,98.0346452784967,83.3342168706356,126.899978772717,65.5240699940496
"7",1982089,"CP52-068","CP72-370",7588.82113866167,256.444644859813,29.5520653461481,99.1674557812616,2.20092535211268,27140.7799218045,81.0490984780416,96.8322362632114,82.9009500724697,115.566342111594,71.1773199265544
"8",1983153,"CP77-405","CP74-339",7432.75355788866,247.651157341658,29.9173486336943,95.0187563066524,2.14034036511156,28227.497677198,79.3822866646943,93.5118586378528,83.9256612467473,112.385141382602,74.0272622483432
"9",1985384,"CP77-310","CP77-407",9130.62582934625,256.322257413903,35.9143440253608,92.0962601258843,1.85692768161922,39101.4443785924,97.5156718661764,96.7860233657476,100.748736376221,97.5036884029262,102.544437711221
"10",1985845,"CP72-370","CP77-403",7921.075771779,247.543445902344,32.0322881199015,104.609792340685,2.13740460099198,30318.2841125261,84.5975993568041,93.4711873282779,89.8585965830318,112.230990075164,79.5103977895548
"11",1986454,"CP77-310","CP69-380",6887.25369458128,250.860635696822,27.3507389162562,100.091540244152,2.68068459657702,20600.7044334975,73.556312994592,94.7237418750275,76.7256777075734,140.757574028544,54.0258214539161
"12",1990018,"CP79-348","CP83-657",8345.55810461111,264.926666666667,31.6028052083333,109.225419230032,1.67333333333333,38291.4583333333,89.1310980079484,100.035005968307,88.6537893727118,87.8635035400481,100.420230667593
"13",1991555,"CP83-644","LCP82-094",8556.3018552271,267.446375251287,32.1731770379272,100.0117845351,1.85792773677583,35422.4465455918,91.3818548363429,100.986435533599,90.2538253097623,97.5561993689383,92.8961812306397
"14",1994428,"LCP81-010","LCP82-089",10022.7096741818,274.695089820359,36.4084789233333,95.6966117615159,2.60658622754491,28559.2128055758,107.043184778873,103.723514493234,102.134908612445,136.866811692032,74.8971928061624
"15",1995462,"LCP85-384","LCP85-336",10614.8294430152,255.854716709023,41.2495436302273,103.151653852957,2.52326315789474,32564.982934697,113.367062042297,96.6094822957543,115.715308454655,132.49167813117,85.4024171532208
"16",1995988,"CP86-941","US89-012",9170.08266801211,262.397400599598,34.997848444253,89.9888538968678,2.11915046854083,32901.3210555839,97.9370734441329,99.0799675446627,98.1777365655107,111.272500813465,86.2844716152826
