PREFIX,VARIETY,AVARIETY,BAY,CART,CAN
L,2008-090,L08-090,4,A,1
HO,2017-776,HO17-776,4,A,2
L,2013-251,L13-251,4,A,3
L,1999-226,L99-226,4,A,4
L,2009-112,L09-112,4,A,5
L,2001-299,L01-299,4,A,6
HO,2009-840,HO09-840,4,A,7
HOCP,2004-847,HOCP04-847,4,A,8
HOCP,2000-950,HOCP00-950,4,A,9
L,2009-099,L09-099,4,A,10
L,2012-202,L12-202,4,A,11
LCP,1981-010,LCP81-010,4,A,12
L,2020-065,L20-065,4,A,13
HO,2012-615,HO12-615,4,A,14
L,2020-037,L20-037,4,A,15
L,2014-276,L14-276,4,A,16
HO,2015-971,HO15-971,4,A,17
HO,2018-878,HO18-878,4,A,18
L,1999-233,L99-233,4,B,1
L,2011-183,L11-183,4,B,2
L,2005-448,L05-448,4,B,3
L,2006-001,L06-001,4,B,4
L,2015-298,L15-298,4,B,5
L,2015-306,L15-306,4,B,6
HOCP,2004-838,HOCP04-838,4,B,7
HO,2006-563,HO06-563,4,B,8
HOCP,2014-802,HOCP14-802,4,B,9
HOL,2015-508,HOL15-508,4,B,10
L,2009-123,L09-123,4,B,11
L,2001-283,L01-283,4,B,12
HOCP,1996-540,HOCP96-540,4,B,13
L,2011-187,L11-187,4,B,14
L,2014-282,L14-282,4,B,15
HOCP,1992-624,HOCP92-624,4,B,16
L,2013-243,L13-243,4,B,17
HOCP,2018-803,HOCP18-803,4,B,18
HOCP,1996-540,HOCP96-540,4,C,1
L,1999-226,L99-226,4,C,2
L,2001-299,L01-299,4,C,3
HO,2015-971,HO15-971,4,C,4
L,2012-218,L12-218,4,C,5
HO,2009-9401,HO09-9401,4,C,6
L,2005-457,L05-457,4,C,7
HO,2011-532,HO11-532,4,C,8
HO,2015-964,HO15-964,4,C,9
LCP,1985-384,LCP85-384,4,C,10
HOCP,1997-609,HOCP97-609,4,C,11
L,2020-061,L20-061,4,C,12
HO,2009-827,HO09-827,4,C,13
HOCP,2001-523,HOCP01-523,4,C,14
HO,2016-600,HO16-600,4,C,15
HOCP,2017-701,HOCP17-701,4,C,16
HOCP,1991-552,HOCP91-552,4,C,17
L,1994-426,L94-426,4,C,18
HO,2011-532,HO11-532,5,A,1
LCP,1985-384,LCP85-384,5,A,2
HOCP,2001-523,HOCP01-523,5,A,3
HO,2016-600,HO16-600,5,A,4
L,2006-001,L06-001,5,A,5
L,2001-283,L01-283,5,A,6
HOCP,1992-624,HOCP92-624,5,A,7
HO,2017-776,HO17-776,5,A,8
HOCP,2000-950,HOCP00-950,5,A,9
L,2012-202,L12-202,5,A,10
L,2020-065,L20-065,5,A,11
HOCP,2014-885,HOCP14-885,5,A,12
HOCP,2009-804,HOCP09-804,5,A,13
HO,2011-573,HO11-573,5,A,14
HOCP,2018-801,HOCP18-801,5,A,15
L,2019-021,L19-021,5,A,16
HOCP,2001-517,HOCP01-517,5,A,17
L,2008-088,L08-088,5,A,18
L,1999-226,L99-226,5,B,1
L,2001-299,L01-299,5,B,2
