# heliumInput = PEDIGREE
LineName	FemaleParent	MaleParent
1999809	1983644	1981030
1999822	1990951	1990963
1999829	1990956	1983632
1999832	1989879	1990951
1999833	1989879	1990951
1999837	1988702	1983632
1999838	1988702	19721210
1999854	1992624	1985358
1999855	1992624	1985358
1999857	1991552	1990941
1999859	1990941	1988764
1999861	1981010	1972355
1999862	1992631	1991552
1999866	1991559	1990956
1999870	1991286	1992631
2000247	1991281	1992314
2000248	1983137	1992624
2000249	1991281	1992314
2000250	1991281	1992314
2000252	1989846	1993386
2000253	1989113	1983644
2000256	1989113	1983644
2000257	1985313	1976331
2000259	1989846	1992321
2000261	1991281	1992312
2000263	1983137	1983644
2000264	1989846	1977010
2000265	1985313	1992355
2000266	1989846	1993386
2000267	1983137	1992321
2000268	1983137	1983644
2000269	1985313	1993365
2000270	1970330	1992312
2000273	1991281	1993365
2000274	1991281	1993365
2000275	1983137	1983644
2000277	1991281	1992624
2000900	1985830	19821592
2000902	1991281	1977310
2000903	1991542	1990956
2000904	1989879	1990017
2000905	1991542	1990956
2000906	1991542	1990956
2000907	1992624	1993744
2000908	1992624	1993744
2000913	1987626	1985834
2000914	1989837	1986901
2000915	1983632	1992614
2000916	1992614	1990956
2000917	1985358	1990020
2000922	1989831	1983632
2000923	1987644	1992614
2000924	1987644	1992614
2000928	1983606	1991534
2000931	1991542	1991552
2000932	1991542	1991552
2000933	1989884	1991559
2000934	1991542	1991552
2000935	1990957	1991552
2000936	1990923	1991559
2000937	1991523	1991559
2000938	1991542	1991552
2000943	1992678	1992631
2000944	1992672	1990923
2000945	1991542	1990963
2000946	1989821	1990956
2000947	1992618	1992631
2000948	1992624	NA
2000949	1993016	1992631
2000950	1993750	1992676
2000951	1993750	1992676
2000955	19841198	19873388
2000958	1983137	1994865
2000959	1983137	1994865
2000961	1994001	1991552
2001040	1993775	1993016
2001282	1992307	1992678
2001286	1992307	1992678
2001294	1993365	1992312
2001302	1992648	1989889
2001303	1985313	1979348
2001305	1992624	1977310
2001306	1993767	1994431
2001310	1993746	1988063
2001313	1993767	1993365
2001500	1989843	1979348
2001501	1989843	1979348
2001507	1993775	1991558
2001508	1991547	1991559
2001515	1989888	NA
2001517	1992631	19841198
2001518	1992631	19841198
2001527	1993750	1993769
2001531	1992618	1993769
2001542	1993771	1986916
2001552	1991557	1981030
2001556	1979348	1992312
2001560	1982550	1991552
2002096	1996002	1996006
2002097	1993016	1990024
2002099	1996569	1993017
2002329	1993746	1994426
2002332	1991281	1981010
2002334	1990941	1990941
2002335	1994426	1984772
2002337	1991542	1991559
2002338	1994432	1991255
2002340	1981010	1995477
2002344	1989845	1991534
2002346	1988063	1991255
2002347	1988063	1991255
2002351	1988063	1991255
2002353	1994432	1991255
2002354	1988063	1991255
2002355	1990941	1993750
2002358	1991542	1991559
2002601	1989837	1993769
2002602	1989831	19701133
2002608	1992624	199020
2002613	1991557	198130
2002639	1991542	1990956
2002640	1989821	1991559
2002643	199018	1992676
2002644	199018	1992676
2002645	199018	1992676
2002648	1994848	1994851
2002649	1994848	19892377
2002650	1991542	1991559
2002651	1994856	1990941
2002652	1994856	1993750
2003362	1996040	1996044
2003363	1983644	1981010
2003367	1993016	1996045
2003369	1983644	1992624
2003372	1983644	1981010
2003373	1983644	1995477
2003374	1983644	1995477
2003375	1983644	1995477
2003376	1983644	1995477
2003377	1983644	1995477
2003378	1981010	1997149
2003379	NA	1992624
2003381	1983644	1995477
2003382	1983644	1995477
2003385	1983644	1995477
2003388	1992648	1997133
2003390	1981010	1996550
2003391	NA	1978317
2003393	1983644	1995477
2003394	1996566	1992624
2003396	1992624	1996045
2003397	1992624	1996045
2003700	1994817	1995985
2003701	1994808	1957614
2003703	1992618	1995947
2003704	1995908	1995947
2003705	1989831	1957614
2003707	1992624	1993750
2003708	1992624	1993750
2003714	1994856	1989831
2003715	1992624	1993750
2003716	1992624	1993750
2003718	1994850	1992618
2003719	1994856	1992631
2003723	1990941	1993378
2003724	1994808	1992631
2003725	1994808	1992618
2003726	1994856	1992631
2003729	1994808	1992618
2003731	1991250	1992624
2003732	1994836	1993750
2003733	1994808	1993750
2003734	1992624	1993750
2003737	1994856	19901436
2003738	1994856	1990941
2003739	1994808	1990941
2003744	1989831	1995985
2003750	1989831	1992618
2003751	1989831	1992631
2003753	1989831	1992618
2003754	1992648	1993378
2003755	1993707	1992675
2003756	1993707	1992675
2003758	1990941	19921320
2004403	1978357	1994432
2004404	1988702	1992618
2004406	1992624	1991255
2004409	1989879	1994426
2004411	1997670	1994432
2004417	1992624	1981010
2004422	1989113	1992618
2004430	1983644	1996040
2004431	1994806	1997621
2004433	1992624	1989889
2004435	1992624	1995482
2004436	1983644	1996063
2004800	1992624	1995985
2004801	1993746	19701133
2004802	1993775	1992618
2004803	1993775	1992618
2004807	1994856	1992624
2004808	1994856	1992624
2004810	1992631	1989837
2004811	1994856	1989837
2004812	1994856	1992624
2004814	1995908	1995985
2004815	1995995	1994426
2004816	1995995	1994426
2004817	1992624	1994426
2004819	1994856	1993750
2004820	1992674	1994814
2004821	1993746	1993378
2004822	1994864	1995944
2004823	1992674	1994861
2004824	1992648	1993378
2004827	1992624	1997687
2004828	1996529	1995950
2004830	1994856	1993775
2004831	1991552	1989837
2004832	1991552	1989837
2004833	1993363	1990941
2004834	1994856	1992618
2004835	1993775	1992618
2004836	1994856	1992618
2004841	199018	1989837
2004842	1991552	1993750
2004846	1992648	1994426
2004847	1992648	1994426
2004848	1994836	1993750
2004852	1992674	1994861
2004853	1995908	1989831
2005445	1998198	1997621
2005455	1992624	1998197
2005460	1992624	1991255
2005463	1981010	1992312
2005468	1993399	1991552
2005472	1992624	1996522
2005900	1994808	1995461
2005907	1991559	1992631
2005911	1994856	1992618
2005912	1994856	1992618
2005913	1994856	1992618
2005914	1994828	1992631
2005915	1994856	1992631
2005916	1994856	1992624
2005917	1994856	1992624
2005918	1994856	1990941
2005919	1994856	1990941
2005920	1994856	1990941
2005921	1994856	1990941
2005922	1989837	1993750
2005923	1989837	1993750
2005924	1989837	1993750
2005925	1989837	1993750
2005926	1989837	1990941
2005928	1992648	1993378
2005929	1992648	1993378
2005930	1994808	1992618
2005935	1994806	1995950
2005936	1995483	1997645
2005937	1983644	1997645
2005938	1983644	1999871
2005939	1991552	1996538
2005940	1995906	1997601
2005941	1995906	1997601
2005942	1995906	1997601
2005943	1992648	1997651
2005948	1997646	1994806
2005949	1983632	1999871
2005952	1992624	1991281
2005956	1994856	NA
2005957	1994856	NA
2005958	1994856	NA
2005959	1994856	NA
2006500	1989831	1993378
2006501	1993750	1993631
2006503	1989831	1957614
2006509	1989831	1995908
2006514	1994856	1995950
2006529	1994856	NA
2006567	1996671	2000005
2008719	NA	198468
2008724	1994856	19961252
2009840	1981010	NA
2009842	20011	1994856
2009850	1989831	1994856
2009857	1989831	1993770
2009859	1994856	1993770
2010135	1994433	NA
2010137	1992624	1991552
2010901	1993750	19942203
2010912	1988739	NA
2010915	1994856	NA
2013237	1992624	NA
2013257	1981010	NA
2015322	1994432	NA
2015328	1994432	NA
2015329	1991552	NA
2015335	1992618	NA
2015338	1994432	NA
2015339	1994432	NA
2015341	1994432	NA
2015511	1983644	NA
2015516	1983644	NA
2015517	1983644	NA
2018452	1983644	2008093
19892143	19811254	19722086
20049601	1996002	1993016
20059001	199931	1995950
20059002	199931	1995950
20059006	199925	1999841
20059008	1983644	199927
20059009	1983644	198807
20059300	1994856	1992618
20059604	199722	NA
20059605	199722	NA
20059606	199906	1993776
20069609	1988739	2001009
20099402	1992624	2003042
20099619	1989831	1995985
20099620	1996002	1990941
20099621	1996002	1990941
20099622	1992624	1999002
1974383	1965357	1965069
1979318	1965357	1965069
1982089	1952068	1972370
1985845	1972370	1977403
1995462	1985384	1985336
1996092	1981010	1986454
1996540	1986454	1985384
1996561	1985384	1988729
1997128	1981010	1985384
1997137	1981010	1985384
1997609	1985384	1970321
1998207	1986454	1985384
1998209	1986454	1985384
1998734	1985384	1986454
1998771	1989831	1985384
1998776	1985384	19701133
1999213	1989889	1985384
1999214	1981010	1985384
1999215	1980004	1985384
1999221	1989846	1985384
1999225	1991281	1985384
1999227	1985294	1985384
1999231	1989889	1985384
1999234	1989846	1985384
1999240	1988739	1986454
1999804	1986454	1986901
1999805	1986454	1986901
1999813	1989831	1985384
1999814	1989831	1985384
1999815	1989831	1985384
1999817	1990956	1985384
1999821	198878	1985384
1999825	1983606	1985384
2000246	1988739	1985384
2000258	1985384	NA
2000260	1985384	NA
2000262	1978020	1985384
2000272	1991281	1986454
2000910	1986454	1988702
2000911	1986454	1988702
2000912	1985384	19882032
2000918	1989831	1985384
2000919	1989831	1985384
2000920	1989831	1985384
2000921	1989831	1985384
2000925	1989831	1985384
2000926	1989831	1985384
2000927	1989831	1985384
2000929	1989831	1985384
2000930	1989831	1985384
2000939	1986454	1989825
2000940	1986454	1989825
2000941	1989831	1986454
2000942	1989831	1986454
2000952	1986454	1986916
2000953	1983153	1992631
2000954	1983153	1992631
2000956	1991516	1985384
2000957	1986454	1970321
2000960	1990018	1990017
2001279	1985384	1993754
2001280	1993363	1985384
2001281	1986429	1985384
2001283	1993365	1985384
2001284	1965357	1985384
2001285	1985384	1993754
2001287	1993363	1985384
2001288	1993363	1985384
2001289	1981010	1985384
2001290	1994424	1985384
2001291	1993363	1985384
2001292	1965357	1985384
2001293	1965357	1985384
2001296	1965357	1985384
2001297	1992648	1985384
2001298	1992648	1985384
2001299	1993365	1985384
2001300	1986422	1985384
2001301	1993749	1985384
2001304	1993749	1985384
2001307	1993746	1985384
2001308	1988739	1985384
2001309	1993746	1985384
2001311	1988739	1985384
2001312	1993746	1985384
2001314	1988739	1985384
2001315	1993746	1985384
2001502	1985384	19861206
2001505	1986454	1985384
2001506	1986454	1985384
2001509	1985384	1988729
2001510	1985384	1988729
2001511	1985384	19882032
2001512	1989831	1985384
2001513	1992631	1985384
2001514	1992631	1985384
2001516	1992631	1985384
2001519	1986454	1989825
2001520	1990977	1985384
2001521	1990977	1985384
2001522	1989831	1985384
2001524	1986454	1989825
2001526	1988757	1985384
2001528	1988757	1985384
2001529	1988757	1985384
2001530	1988757	1985384
2001532	1992654	1985384
2001533	1992654	1985384
2001534	1992654	1985384
2001535	1993721	1985384
2001536	1988757	1985384
2001537	1992618	1985384
2001538	1985384	1975020
2001539	1985384	1975020
2001543	1985384	1986454
2001544	1985384	1986454
2001545	1985384	1986454
2001551	1989831	1986454
2001553	1985384	1986454
2001554	1985384	1986454
2001557	1992624	1985384
2001558	1986454	1989825
2001559	1981010	1985384
2001561	1983644	1985384
2001562	1985313	1970321
2001563	1983644	1985384
2001564	NA	1985384
2001565	NA	1985384
2001566	1985384	1975020
2001567	1990018	1991558
2002098	1990018	1993775
2002316	1994424	1985384
2002317	1981010	1985384
2002319	1994424	1985384
2002320	1994424	1985384
2002322	1985336	1985384
2002323	1994424	1985384
2002324	1994424	1985384
2002325	1994424	1985384
2002326	1994424	1985384
2002327	1994424	1985384
2002328	1994424	1985384
2002336	1988739	1985384
2002342	1983644	1985384
2002350	1992624	1985384
2002360	1992624	1985384
2002361	1992624	1985384
2002600	1986454	1988702
2002603	1990977	1985384
2002604	1985384	1993769
2002605	1990923	1983153
2002606	199316	1985384
2002607	199317	1985384
2002611	1965357	19822043
2002612	1965357	1985384
2002614	1989884	1985384
2002615	1989884	1985384
2002616	1989831	1985384
2002617	1989831	1985384
2002618	1989831	1985384
2002619	1989831	1985384
2002620	1989831	1985384
2002621	1989831	1985384
2002622	1989831	1985384
2002623	1989831	1985384
2002624	1989831	1985384
2002625	1989831	1985384
2002626	1989831	1985384
2002627	1989831	1985384
2002628	1989831	1985384
2002629	1989831	1985384
2002630	1989831	1985384
2002631	1989831	1985384
2002632	1989831	1985384
2002633	1989831	1985384
2002634	1989831	1985384
2002635	1989831	1985384
2002636	1989831	1985384
2002637	1989831	1985384
2002638	1989831	1985384
2002647	1986454	1986916
2002653	1985384	199502
2003366	1992624	1985384
2003368	1985384	1996045
2003380	1992624	1985384
2003387	1992624	1985384
2003395	1995988	1989113
2003398	1991255	1985384
2003702	1995988	1985384
2003706	1994861	1986454
2003709	1993750	1986454
2003710	1989831	1986454
2003711	1993746	1986454
2003712	1994839	1986454
2003713	1994856	1986454
2003717	1985384	1986454
2003720	1989831	1985384
2003721	1989831	1985384
2003722	1993393	1986454
2003727	1985384	1986454
2003728	1985384	1986454
2003730	1985384	1986454
2003735	1989831	1985384
2003736	1994836	1985384
2003740	1989831	1985384
2003741	1985384	1992631
