# heliumInput = PEDIGREE
"LineName"	"MaleParent"	"FemaleParent"
"CP53015"	"CP48126"	"F36819"
"CP53016"	"CP48126"	"F36819"
"CP53017"	"CP48126"	"F36819"
"CP53018"	"CP48126"	"F36819"
"CP53019"	"CP48126"	"F36819"
"CP53022"	"CP48126"	"F36819"
"CP53023"	"CP48126"	"F36819"
"CP53039"	"CP43074"	"P0J2725"
"CP53063"	"CP36105"	"CL47083"
"CP53076"	"CP36046"	"F36819"
"CP55014"	"CP48126"	"F36819"
"CP55015"	"CP48126"	"F36819"
"CP55022"	"CP33032"	"CP36105"
"CP55023"	"CP38034"	"CP44051"
"CP55030"	"CP44154"	"CP43064"
"CP55037"	"CP38034"	"CP36105"
"CP55038"	"CP33224"	"CP43064"
"CP56012"	"CP38034"	"CP38041"
"CP56021"	"Co356"	"CP48103"
"CP56022"	"Co356"	"CP48103"
"CP56030"	"CP48096"	"F36819"
"CP56059"	"CP34079"	"CL47083"
"CP56063"	"CP36105"	"CL47083"
"CP57001"	"CP48126"	"Cl41142"
"CP57025"	"CP48126"	"CL41070"
"CP57037"	"CP48126"	"CP43064"
"CP57071"	"CP36183"	"CP44155"
"CP57098"	"CP48126"	"F36819"
"CP57101"	"CP48126"	"F36819"
"CP57108"	"CP33372"	"CP43064"
"CP57120"	"CP43074"	"B45181"
"CP57526"	"US54249"	"CP52114"
"CP57614"	"CP53017"	"CL47143"
"CP57621"	"CP52011"	"CL47143"
"CP58002"	"CP33372"	"CP33224"
"CP58015"	"CP52110"	"F36819"
"CP58020"	"CP48126"	"CP44155"
"CP58043"	"CP43064"	"CP53001"
"CP58046"	"CP43064"	"CP53001"
"CP58048"	"CP50038"	"CP44155"
"CP58051"	"CP44155"	"CP36111"
"CP59017"	"CP44155"	"CP36105"
"CP59029"	"CP48126"	"CP44155"
"CP59032"	"CP44155"	"Cl41142"
"CP59043"	"CP52070"	"CP53018"
"CP59044"	"CP49034"	"CP48103"
"CP59050"	"CP52034"	"CP44155"
"CP59053"	"CP43074"	"CP50041"
"CP59055"	"CP53019"	"CP50041"
"CP59056"	"CP53019"	"CP50041"
"CP60001"	"CP53039"	"Co301"
"CP60006"	"CP53019"	"CP53044"
"CP60012"	"CP53039"	"CP52033"
"CP60016"	"CP53005"	"CP48103"
"CP60023"	"CP48126"	"F36819"
"CP60044"	"CP48126"	"CP44155"
"CP60066"	"CP50041"	"CP52068"
"CP60074"	"CP43064"	"CP53001"
"CP61018"	"L55013"	"CP44155"
"CP61023"	"CP52064"	"CP53018"
"CP61026"	"CP43064"	"CP44155"
"CP61036"	"CP33224"	"CP1"
"CP61037"	"CP55038"	"CP48103"
"CP61039"	"CP55038"	"CP48103"
"CP61041"	"CP55038"	"CP48103"
"CP61043"	"CP55038"	"CP48103"
"CP61044"	"CP38012"	"CP44155"
"CP61060"	"L55013"	"CP44155"
"CP61065"	"CP53019"	"CP29320"
"CP61084"	"CP43064"	"CP48103"
"CP61090"	"CP55015"	"CP47049"
"CP61100"	"CP46115"	"CP48103"
"CP62208"	"CP44155"	"CP48103"
"CP62217"	"CP44155"	"CP52068"
"CP62221"	"CP44155"	"CP52068"
"CP62223"	"CP44155"	"CP52068"
