# heliumInput = PEDIGREE
"LineName"	"MaleParent"	"FemaleParent"
"CP48120"	"CP38034"	"CP36105"
"CP48126"	"CP38034"	"CP36105"
"CP50011"	"CP27034"	"CP34079"
"CP50023"	"CP43074"	"CP29103"
"CP50027"	"CP36138"	"CP43049"
"CP50028"	"CP33372"	"CP43064"
"CP50038"	"CP43074"	"P3337"
"CP50040"	"CP36105"	"F36819"
"CP50041"	"CP1165"	"CO290"
"CP50052"	"CP36105"	"F36819"
"CP51021"	"CP33372"	"F36819"
"CP51024"	"CP43074"	"F36819"
"CP51614"	NA	NA
"CP52001"	"CP33229"	"CP29103"
"CP52003"	"CO285"	"CP36013"
"CP52009"	"CP38034"	"CP36105"
"CP52011"	"CP38034"	"CP34120"
"CP52015"	NA	NA
"CP52016"	"CP36105"	"CP29103"
"CP52034"	"CP43064"	"CP33372"
"CP52037"	"P33032"	"CP43064"
"CP52038"	"CP48126"	"CL41142"
"CP52048"	"CP38034"	"CP36105"
"CP52057"	"CP38034"	"CP36105"
"CP52058"	"CP38034"	"CP36105"
"CP52060"	"CP38034"	"CP43064"
"CP52064"	"CP43074"	"CP36013"
"CP52067"	"CP38034"	"CP36105"
"CP52068"	"CP38034"	"CP29320"
"CP52070"	"CP27108"	"CP43064"
"CP52071"	"CP43074"	"CP27139"
"CP52110"	"CP43074"	"CL41142"
"CP52114"	"CP43064"	"CP33372"
"CP52258"	NA	NA
"CP52614"	NA	NA
"CP53001"	"CP46126"	"F36819"
"CP53005"	"CP30024"	"CP44126"
"CP53015"	"CP48126"	"F36819"
"CP53016"	"CP48126"	"F36819"
"CP53017"	"CP48126"	"F36819"
"CP53018"	"CP48126"	"F36819"
"CP53019"	"CP48126"	"F36819"
"CP53022"	"CP48126"	"F36819"
"CP53023"	"CP48126"	"F36819"
"CP53039"	"CP43074"	"P0J2725"
"CP53063"	"CP36105"	"CL47083"
"CP53076"	"CP36046"	"F36819"
"CP53319"	NA	NA
"CP55014"	"CP48126"	"F36819"
"CP55015"	"CP48126"	"F36819"
"CP55022"	"CP33032"	"CP36105"
"CP55023"	"CP38034"	"CP44051"
"CP55030"	"CP44154"	"CP43064"
"CP55037"	"CP38034"	"CP36105"
"CP55038"	"CP33224"	"CP43064"
"CP56012"	"CP38034"	"CP38041"
"CP56021"	"CO356"	"CP48103"
"CP56022"	"CO356"	"CP48103"
"CP56030"	"CP48096"	"F36819"
"CP56059"	"CP34079"	"CL47083"
"CP56063"	"CP36105"	"CL47083"
"CP57001"	"CP48126"	"CL41142"
"CP57025"	"CP48126"	"CL41070"
"CP57037"	"CP48126"	"CP43064"
"CP57071"	"CP36183"	"CP44155"
"CP57098"	"CP48126"	"F36819"
"CP57101"	"CP48126"	"F36819"
"CP57108"	"CP33372"	"CP43064"
"CP57120"	"CP43074"	"B45181"
"CP57526"	"US54249"	"CP52114"
"CP57603"	NA	"CL47143"
"CP57614"	"CP53017"	"CL47143"
"CP57621"	"CP52011"	"CL47143"
"CP57714"	NA	NA
"CP58002"	"CP33372"	"CP33224"
"CP58015"	"CP52110"	"F36819"
"CP58020"	"CP48126"	"CP44155"
"CP58043"	"CP43064"	"CP53001"
"CP58046"	"CP43064"	"CP53001"
"CP58048"	"CP50038"	"CP44155"
"CP58051"	"CP44155"	"CP36111"
"CP59017"	"CP44155"	"CP36105"
"CP59022"	NA	NA
"CP59029"	"CP48126"	"CP44155"
"CP59032"	"CP44155"	"CL41142"
"CP59043"	"CP52070"	"CP53018"
"CP59044"	"CP49034"	"CP48103"
"CP59050"	"CP52034"	"CP44155"
"CP59053"	"CP43074"	"CP50041"
"CP59055"	"CP53019"	"CP50041"
"CP59056"	"CP53019"	"CP50041"
"CP60001"	"CP53039"	"CO301"
"CP60006"	"CP53019"	"CP53044"
"CP60012"	"CP53039"	"CP52033"
"CP60016"	"CP53005"	"CP48103"
"CP60023"	"CP48126"	"F36819"
"CP60044"	"CP48126"	"CP44155"
"CP60066"	"CP50041"	"CP52068"
"CP60074"	"CP43064"	"CP53001"
"CP61018"	"L55013"	"CP44155"
"CP61023"	"CP52064"	"CP53018"
"CP61026"	"CP43064"	"CP44155"
"CP61036"	"CP33224"	"CP1"
"CP61037"	"CP55038"	"CP48103"
"CP61039"	"CP55038"	"CP48103"
"CP61041"	"CP55038"	"CP48103"
"CP61043"	"CP55038"	"CP48103"
"CP61044"	"CP38012"	"CP44155"
"CP61060"	"L55013"	"CP44155"
"CP61065"	"CP53019"	"CP29320"
"CP61084"	"CP43064"	"CP48103"
"CP61090"	"CP55015"	"CP47049"
"CP61100"	"CP46115"	"CP48103"
"CP62086"	NA	NA
"CP62208"	"CP44155"	"CP48103"
"CP62217"	"CP44155"	"CP52068"
"CP62221"	"CP44155"	"CP52068"
"CP62223"	"CP44155"	"CP52068"
"CP62238"	"CP52011"	"CP48103"
"CP62240"	"CP56008"	"CP52001"
"CP62244"	"CP53017"	"CP52001"
"CP62247"	"CP53016"	"CP48103"
"CP62249"	"CP53016"	"CP48103"
"CP62250"	"CP33224"	"CP53018"
"CP62251"	"CP51021"	"CP52068"
"CP62252"	"CP33224"	"CP53018"
"CP62254"	"CP51021"	"CP52068"
"CP62258"	"CP33224"	"CP53018"
"CP62261"	"CP33224"	"CP55030"
"CP62264"	"F46345"	"CP48103"
"CP62282"	"CP43064"	"CP52001"
"CP62284"	"CP56008"	"CP53001"
"CP62286"	"CP43064"	"CP53018"
"CP62287"	"CP43064"	"CP53018"
"CP62307"	"CP43064"	"CP48103"
"CP62313"	"CP51021"	"CP52001"
"CP62321"	"CP51024"	"CP50041"
"CP62325"	"CP56008"	"CP53001"
"CP62332"	"CP51021"	"CP53018"
"CP62334"	"CP51021"	"CP53018"
"CP62350"	"CP52015"	"CP53018"
"CP62374"	"CP33224"	"CP53018"
"CP63301"	"CP52070"	"CP48103"
"CP63304"	"CP48103"	"CP52068"
"CP63306"	NA	NA
"CP63309"	"CP51024"	"CP52068"
"CP63310"	NA	NA
"CP63312"	"CP52064"	"CP48103"
"CP63313"	"CP48103"	"CP44155"
"CP63314"	"CP48103"	"CP44155"
"CP63321"	NA	NA
"CP63326"	"CP48103"	"CP44155"
"CP63328"	"CP48103"	"CP52068"
"CP63341"	"CP50041"	"CP44155"
"CP63346"	"CP44155"	"CP57004"
"CP63354"	"CP46115"	"CP52001"
"CP63359"	"P"	"CP50041"
"CP63361"	"CP44101"	"CP52068"
"CP63362"	"P"	"CP50041"
"CP63366"	"P"	"CP50041"
"CP63368"	"CP48103"	"CP52001"
"CP63369"	"CP48103"	"CP52001"
"CP63372"	"CP48103"	"CP52001"
"CP63384"	"CP50041"	"CP56008"
"CP63428"	"CP51024"	"CP52068"
"CP63561"	"US6083"	"CP57101"
"CP63566"	"US6083"	"CP57101"
"CP63571"	"US6083"	"CL54134"
"CP63588"	"CP57120"	"CL541910"
"CP6403+C140707"	"CP48103"	"CP52068"
