,VARIETY,FEMALEPARENT,MALEPARENT,T_SPACRE,TRS_TON,TCA,FIBER,MSTWT,POPN,SYPCT,SCPCT,CYPCT,SWPCT,POPPCT
798,2007069,HO95-988,L00-266,9923.890067,242.5975,42.94516875,91.2897337,2.006666667,37888.125,105.987785,91.60362249,120.4719619,105.3661935,99.36247972
799,2007070,LCP85-384,HOCP01-517,10565.31484,224.42,48.71510417,102.2254831,2.081666667,43900.3125,112.8382429,84.73988792,136.6580769,109.3042987,115.1295798
800,2007071,CP83-644,L99-233,9414.527588,228.1375,42.53830625,93.35009228,2.068333334,38001.5625,100.5477609,86.14359763,119.3306106,108.6041911,99.65997217
801,2007072,LCP85-384,HOCP01-517,8913.766126,231.315,40.90518438,83.91998958,2.1425,37094.0625,95.19959627,87.34340599,114.7492944,112.4985396,97.28003254
802,2007073,HOCP96-561,L99-226,11197.59733,238.086,46.69995,102.2651053,1.886666667,42757.21154,119.5910606,89.90010228,131.0050644,99.06522511,112.1317712
803,2007600,HOCP93-750,LCP86-454,11932.2211,264.6822222,45.59078333,95.76705137,2.083333333,43660.83333,127.4368898,99.94270495,127.8935739,109.3918122,114.5015402
804,2007601,HOCP93-750,LCP86-454,12564.04483,246,50.40028125,89.46710881,2.28,44694.375,134.1848079,92.88838975,141.385421,119.7183992,117.212027
805,2007602,HOCP00-921,HOCP96-540,12134.27973,229.0266667,52.92943333,101.3934152,2.307777778,45727.91667,129.594889,86.47934259,148.4803265,121.1769567,119.9225138
806,2007603,HOCP00-921,HOCP96-540,14191.3035,225,63.2346,93.35009228,2.4,53542.5,151.5640353,84.95889306,177.3889018,126.0193676,140.4164384
807,2007604,HOCP95-950,HOCP01-553,12176.90594,254.9010526,47.61927138,93.88499306,2.05,47423.35714,130.0501397,96.24938343,133.5839913,107.6415432,124.3688454
808,2007605,HOCP93-750,LCP86-454,14558.49729,252,58.01987813,83.04829941,3.065,37888.125,155.4856886,95.15396023,162.7602999,160.9372341,99.36247972
809,2007606,HOCP95-950,LCP86-454,10993.3461,177,62.1093,99.37267887,2.36,44013.75,117.4096443,66.83432921,174.2321533,123.9190448,115.4270722
810,2007607,HO89-879,HOCP00-945,12545.55225,198.5,63.842625,94.1029156,1.8,71465.625,133.987306,74.95262344,179.0945643,94.51452572,187.4202462
811,2007608,HOCP99-804,HOCP00-917,11891.45525,250.4266667,48.19682083,96.20289645,2.98,32468.33333,127.0015078,94.5598773,135.2041622,156.4740481,85.14895135
812,2007609,L99-233,TUCCP77-042,11177.8953,202,55.64222813,94.57838296,1.855,61256.25,119.3806417,76.27420622,156.0903958,97.40246956,160.6459253
813,2007610,HOCP99-870,LCP86-454,12974.07375,194.5,66.34051875,104.0481079,2.325,57172.5,138.5639432,73.44224311,186.1017823,122.0812624,149.9361969
814,2007611,HOCP95-951,HOCP99-833,13148.55764,197.5,65.72001563,100.9575701,3.24,41518.125,140.4274424,74.57502836,184.3611156,170.1261463,108.8822383
815,2007612,HOCP01-558,TUCCP77-042,10970.80078,229.0147368,47.71357974,82.80066016,2.346842105,41170.25,117.1688588,86.47483794,133.8485498,123.2281492,107.9699281
816,2007613,HOCP00-905,HOCP96-540,7951.489782,287.9014941,27.70575954,84.37828728,2.05312749,27105.68556,84.92242295,108.7101878,77.72159953,107.8057616,71.08528414
