,MVARIETY,FVARIETY,X.1,X,CROSS,DATE,FEMALE,MALE,F_POL,M_POL,CUBICLE,FUZZ,GERM,SEED,CROSSING.SERIES,AVGGERMF,SUMSEEDF,AVGGERMM,SUMSEEDM,AVGGERMX,SUMSEEDX,XN,FEFF,MEFF,XEFF,SUMGCA,SUM_SURVIVE,SUM_LINE1NO,SUM_LINE2NO,SUM_INCNO,SUM_ASSIGNNO,FFP,FMP,FSYPCT,FSCPCT,FCYPCT,FSWPCT,FPOPPCT,FFIBPCT,MFP,MMP,MSYPCT,MSCPCT,MCYPCT,MSWPCT,MPOPPCT,MFIBPCT,XSYPCT,XSCPCT,XCYPCT,XSWPCT,XPOPPCT,FRUST,FMOS,FLS,FSMUT,MRUST,MMOS,MLS,MSMUT,FBru1,MBru1,FLS1,MLS1
6556,2011532,2005457,6748,6748,XL15-142,266,L05-457,HO11-532,7,4,18,9.12,16,292,2015,38.2578125,139369.79,NA,33136.7,40,2001,3,0.000447666,0.00039208,0,0.000839746,NA,NA,NA,NA,NA,L97-128,LCP87-492,123.5861123,89.04453413,138.2634036,100.7665195,134.4589665,109.6665874,HOL05-953,HOCP02-623,107.3905933,103.3916232,104.1399201,105.7717205,93.21725513,100.4120944,115.4883528,96.21807865,121.2016618,103.26912,113.8381108,MR,,,R,S,,MR,MR,-,-,,
6557,2011532,2014269,8412,8412,XL21-303,284,L14-269,HO11-532,6,3,16,3.8,1,7.6,2021,26.84,5626.08,NA,33136.7,1,7.6,1,0.0004158,0.00039208,NA,0.00080788,NA,NA,NA,NA,NA,L01-283,HOCP02-610,84.51750424,76.88085724,113.5625604,116.710256,93.17277105,95.21807372,HOL05-953,HOCP02-623,107.3905933,103.3916232,104.1399201,105.7717205,93.21725513,100.4120944,95.95404879,90.13624021,108.8512403,111.2409883,93.19501309,,R,,,S,,MR,MR,Not tested,-,,
6558,2011532,2009814,7972,7972,XL19-127,291,HOCP09-814,HO11-532,8,4,3,9.02,34,613.36,2019,21.36842105,5949.54,NA,33136.7,34,613.36,1,0.002089864,0.00039208,NA,0.002481944,NA,NA,NA,NA,NA,L00-266,HOCP01-553,170.6941956,100.3217473,167.98467,138.6950613,117.9923649,83.78953627,HOL05-953,HOCP02-623,107.3905933,103.3916232,104.1399201,105.7717205,93.21725513,100.4120944,139.0423945,101.8566852,136.0622951,122.2333909,105.60481,MS,R,S,MS,S,,MR,MR,-,-,,
6559,2011532,2011187,8274,8274,XL21-168,272,L11-187,HO11-532,6,3,5,8.02,7,112.28,2021,NA,8611.6,NA,33136.7,3.666666667,161.24,3,0,0.00039208,NA,0.00039208,NA,NA,NA,NA,NA,HOCP00-950,HOCP01-523,107.6075193,97.9812415,108.972477,104.6581769,96.48226235,102.7525055,HOL05-953,HOCP02-623,107.3905933,103.3916232,104.1399201,105.7717205,93.21725513,100.4120944,107.4990563,100.6864323,106.5561985,105.2149487,94.84975874,R,R,NS,R,S,,MR,MR,-,-,,
6560,2011532,2000950,7775,7775,XL18-199,295,HOCP00-950,HO11-532,8,4,25,3.37,63,424.62,2018,NA,76114.006,NA,33136.7,NA,588.26,6,0.000404968,0.00039208,NA,0.000797048,NA,NA,NA,NA,NA,HOCP93-750,HOCP92-676,90.57354054,113.0403677,80.19593526,99.93781023,79.42921141,91.434373,HOL05-953,HOCP02-623,107.3905933,103.3916232,104.1399201,105.7717205,93.21725513,100.4120944,98.98206694,108.2159955,92.16792768,102.8547654,86.32323327,MR,R,S,R,S,,MR,MR,-,-,,
6561,2011532,2004838,8275,8275,XL21-169,272,HOCP04-838,HO11-532,8,3,5,9.84,15,295.2,2021,46.26785714,73954.12,NA,33136.7,15,295.2,1,0.000812942,0.00039208,NA,0.001205022,NA,NA,NA,NA,NA,HOCP85-845,LCP85-384,91.66341528,101.148667,90.5207475,98.89754201,90.25209452,102.8256798,HOL05-953,HOCP02-623,107.3905933,103.3916232,104.1399201,105.7717205,93.21725513,100.4120944,99.52700431,102.2701451,97.3303338,102.3346313,91.73467483,R,R,MS,MR,S,,MR,MR,-,-,,
6562,2011532,2011183,8538,8538,XL22-344,297,L11-183,HO11-532,9,3,2,4.07,43,350.02,2022,30.24675325,24578.24,NA,33136.7,21,1014.38,5,0.000281373,0.00039208,0,0.000673453,NA,NA,NA,NA,NA,HOCP92-624,LCP85-384,85.10316829,99.36651696,84.79573742,108.327264,77.90000212,92.0013239,HOL05-953,HOCP02-623,107.3905933,103.3916232,104.1399201,105.7717205,93.21725513,100.4120944,96.24688082,101.3790701,94.46782876,107.0494923,85.55862863,MS,MS,MR,R,S,,MR,MR,-,-,,
6563,2011532,2015320,8194,8194,XL21-091,263,L15-320,HO11-532,6,3,7,7.75,18,279,2021,34.83333333,7643.3,NA,33136.7,49,968.6,2,NA,0.00039208,NA,NA,NA,NA,NA,NA,NA,HOCP92-624,L99-233,113.4057566,97.8272766,114.7764827,118.1873632,99.28701181,78.10769492,HOL05-953,HOCP02-623,107.3905933,103.3916232,104.1399201,105.7717205,93.21725513,100.4120944,110.398175,100.6094499,109.4582014,111.9795419,96.25213347,,,MR,S,S,,MR,MR,Not tested,-,,
6564,2011532,2009827,8524,8524,XL22-205,280,HO09-827,HO11-532,7,3,17,1.79,0,0,2022,NA,26679.92,NA,33136.7,81.5,2634.62,4,0.000440788,0.00039208,NA,0.000832868,NA,NA,NA,NA,NA,L01-283,HO94-856,141.4624177,90.73365274,154.6647196,123.4305297,124.7369558,80.9274673,HOL05-953,HOCP02-623,107.3905933,103.3916232,104.1399201,105.7717205,93.21725513,100.4120944,124.4265055,97.06263795,129.4023199,114.6011251,108.9771055,R,R,,R,S,,MR,MR,+,-,,
6565,2011532,1997128,7842,7842,XL18-266,313,L97-128,HO11-532,7,4,22,3.23,0,0,2018,NA,88233.572,NA,33136.7,8.666666667,179.68,3,0.00060763,0.00039208,NA,0.00099971,NA,NA,NA,NA,NA,LCP81-010,LCP85-384,97.33242339,100.4837029,97.36338275,116.2914104,81.86989935,99.10090029,HOL05-953,HOCP02-623,107.3905933,103.3916232,104.1399201,105.7717205,93.21725513,100.4120944,102.3615084,101.9376631,100.7516514,111.0315655,87.54357724,MS,R,R,S,S,,MR,MR,NA,-,NA,
6566,2011532,1981010,7779,7779,XL18-203,295,LCP81-010,HO11-532,6,4,25,10.68,84,1794.24,2018,NA,371562.37,NA,33136.7,84,1794.24,1,0.000335411,0.00039208,NA,0.000727491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HOL05-953,HOCP02-623,107.3905933,103.3916232,104.1399201,105.7717205,93.21725513,100.4120944,NA,NA,NA,NA,NA,MS,R,R,MR,S,,MR,MR,-,-,,
6567,2011532,2000950,7971,7971,XL19-126,291,HOCP00-950,HO11-532,8,4,3,1.97,14,55.16,2019,NA,76114.006,NA,33136.7,NA,588.26,6,0.000404968,0.00039208,NA,0.000797048,NA,NA,NA,NA,NA,HOCP93-750,HOCP92-676,90.57354054,113.0403677,80.19593526,99.93781023,79.42921141,91.434373,HOL05-953,HOCP02-623,107.3905933,103.3916232,104.1399201,105.7717205,93.21725513,100.4120944,98.98206694,108.2159955,92.16792768,102.8547654,86.32323327,MR,R,S,R,S,,MR,MR,-,-,,
6568,2011532,2011187,7978,7978,XL19-133,294,L11-187,HO11-532,NA,NA,7,6.12,4,48.96,2019,NA,8611.6,NA,33136.7,3.666666667,161.24,3,0,0.00039208,NA,0.00039208,NA,NA,NA,NA,NA,HOCP00-950,HOCP01-523,107.6075193,97.9812415,108.972477,104.6581769,96.48226235,102.7525055,HOL05-953,HOCP02-623,107.3905933,103.3916232,104.1399201,105.7717205,93.21725513,100.4120944,107.4990563,100.6864323,106.5561985,105.2149487,94.84975874,R,R,NS,R,S,,MR,MR,-,-,,
6569,2011532,2014273,7685,7685,XL18-109,274,L14-273,HO11-532,8,4,14,2.54,3,15.24,2018,18.71428571,5597.06,NA,33136.7,31.5,404.04,2,0,0.00039208,NA,0.00039208,NA,NA,NA,NA,NA,L99-233,HOCP96-540,113.1767371,100.1721508,111.8966005,94.99480799,116.1804247,105.9557669,HOL05-953,HOCP02-623,107.3905933,103.3916232,104.1399201,105.7717205,93.21725513,100.4120944,110.2836652,101.781887,108.0182603,100.3832643,104.6988399,R,R,S,S,S,,MR,MR,NA,-,NA,
6570,2011532,2001040,7954,7954,XL19-109,287,US01-040,HO11-532,8,4,26,5.47,34,371.96,2019,31.925,15384.008,NA,33136.7,34,371.96,1,0,0.00039208,NA,0.00039208,NA,NA,NA,NA,NA,HOCP93-775,US93-016,104.1937621,75.24875434,137.1292183,118.5694816,113.8448033,116.0618312,HOL05-953,HOCP02-623,107.3905933,103.3916232,104.1399201,105.7717205,93.21725513,100.4120944,105.7921777,89.32018876,120.6345692,112.1706011,103.5310292,MR,R,,MR,S,,MR,MR,-,-,,
6571,2011532,2013243,7777,7777,XL18-201,295,L13-243,HO11-532,7,4,25,2.83,116,656.56,2018,37.33333333,5789.44,NA,33136.7,116,656.56,1,0,0.00039208,NA,0.00039208,NA,NA,NA,NA,NA,L05-445,L05-450,99.46614228,89.9059509,111.0309325,124.8893139,87.10678352,85.86206897,HOL05-953,HOCP02-623,107.3905933,103.3916232,104.1399201,105.7717205,93.21725513,100.4120944,103.4283678,96.64878704,107.5854263,115.3305172,90.16201933,,R,S,R,S,,MR,MR,Not tested,-,,
6572,2011532,2008090,8536,8536,XL22-346,297,L08-090,HO11-532,7,3,2,1.07,18,38.52,2022,NA,35248,NA,33136.7,47,1129.08,4,0.00020829,0.00039208,NA,0.00060037,NA,NA,NA,NA,NA,HOCP91-552,L99-226,106.5094796,100.8130429,106.2003642,122.9770798,85.45190842,83.96864403,HOL05-953,HOCP02-623,107.3905933,103.3916232,104.1399201,105.7717205,93.21725513,100.4120944,106.9500365,102.102333,105.1701421,114.3744001,89.33458178,MS,R,MS,R,S,,MR,MR,-,-,,
6573,2011532,2009827,7748,7748,XL18-172,288,HO09-827,HO11-532,7,4,13,3.82,169,1291.16,2018,NA,26679.92,NA,33136.7,81.5,2634.62,4,0.000440788,0.00039208,NA,0.000832868,NA,NA,NA,NA,NA,L01-283,HO94-856,141.4624177,90.73365274,154.6647196,123.4305297,124.7369558,80.9274673,HOL05-953,HOCP02-623,107.3905933,103.3916232,104.1399201,105.7717205,93.21725513,100.4120944,124.4265055,97.06263795,129.4023199,114.6011251,108.9771055,R,R,,R,S,,MR,MR,+,-,,
6574,2011532,2011183,7841,7841,XL18-265,313,L11-183,HO11-532,7,4,22,6.74,0,0,2018,30.24675325,24578.24,NA,33136.7,21,1014.38,5,0.000281373,0.00039208,0,0.000673453,NA,NA,NA,NA,NA,HOCP92-624,LCP85-384,85.10316829,99.36651696,84.79573742,108.327264,77.90000212,92.0013239,HOL05-953,HOCP02-623,107.3905933,103.3916232,104.1399201,105.7717205,93.21725513,100.4120944,96.24688082,101.3790701,94.46782876,107.0494923,85.55862863,MS,MS,MR,R,S,,MR,MR,-,-,,
